vehicle_name,fleet_name,brand,model,category,fuel_type_clean,days_active,distance_traveled_km,liters_consumed,engine_time_sec,travel_time_sec,idle_time_sec,total_co2_kg,total_fuel_cost_eur,km_per_liter,idle_ratio
GN961GY,NOLEGGIO PRIVATO ,,,Default,default,7,1793.01171875,113.5,214458.0,91692.0,122766.0,283.75,170.25,15.797460077092511,0.5724477520073861
GP497NZ,POLISTIROLO_,,,Default,default,7,1783.421875,193.5,123185.0,101557.0,21628.0,483.75,290.25,9.216650516795866,0.17557332467427042
EJ476EB,RAFI TRASPORTO MERCI,,,Default,default,7,1738.875,252.29999999999998,129496.0,103862.0,25634.0,630.75,378.45,6.892092746730084,0.1979520602952987
HA990DH,AMBIENTE,,,Default,default,7,1655.478515625,165.7,120531.0,80946.0,41532.0,414.25,248.54999999999998,9.990817837205794,0.34457525449884263
GR362NG,MILANO,,,Default,default,8,1577.9375,274.0,350315.0,174278.0,176037.0,685.0,411.0,5.75889598540146,0.5025105976050126
GR469SM,EDILI ,,,Default,default,7,1577.4609375,108.8,97540.0,89430.0,8110.0,272.0,163.2,14.49872185202206,0.08314537625589502
GN036WP,UFFICIO MEZZI,,,Default,default,7,1576.1796875,79.6,76608.0,74576.0,2286.0,199.0,119.4,19.80125235552764,0.029840225563909775
FM716BG,AMBIENTE,,,Default,default,8,1536.859375,59.0,145531.0,95264.0,51196.0,147.5,88.5,26.048463983050848,0.35178759164714046
FJ750LL,RAFI TRASPORTO MERCI,,,Default,default,7,1526.5,366.0,130493.0,106540.0,23953.0,915.0,549.0,4.170765027322404,0.1835577387292805
GW756NE,UFFICIO MEZZI,,,Default,default,8,1515.5859375,177.5,0.0,115584.0,0.0,443.75,266.25,8.538512323943662,
HA601KA,UFFICIO MEZZI,,,Default,default,7,1512.072998046875,97.3,114841.0,74557.0,40284.0,243.25,145.95000000000002,15.540318582187822,0.35078064454332514
GR364NG,MILANO,,,Default,default,8,1447.11328125,293.9,379178.0,247768.0,204350.0,734.75,440.85,4.92382878955427,0.5389289462996271
GR365NG,MILANO,,,Default,default,8,1443.171875,285.2,432845.0,142895.0,289950.0,713.0,427.80000000000007,5.060209940392707,0.6698702768889556
GF030KE,RAFI TRASPORTO MERCI,,,Default,default,8,1426.125,184.9,134103.0,110931.0,23172.0,462.25,277.35,7.71295294753921,0.17279255497639873
FX388TT,MILANO,,,Default,default,8,1423.21875,222.1,430673.0,155701.0,274972.0,555.25,333.15,6.408008779828906,0.6384704868891247
